#TYPE;TAG;INSTANCE NAME;APPLICATION_MEASUREMENT_NAME;APPLICATION_GROUP;SERVICE_ID;CUSTOMER;WAE_IP
OAM;APP_56.233.6.22_Remote-Desktop;APP Remote-Desktop WAE 3148800016-LSVGNV-ATT-WAAS;Remote-Desktop;APP_GP_56.207.245.4_Remote-Desktop;SERVICE_56.207.245.4;;56.233.6.22
OAM;APP_56.66.6.25_SSH;APP SSH WAE 2303780005-BLTMMD-ATT-WAAS;SSH;APP_GP_56.207.245.4_SSH;SERVICE_56.207.245.4;;56.66.6.25
OAM;APP_56.152.168.204_Printing;APP Printing WAE 1661800802-PEORIL-XOC-WAAS;Printing;APP_GP_56.207.245.4_Printing;SERVICE_56.207.245.4;;56.152.168.204
OAM;APP_56.49.34.9_Other;APP Other WAE 3281328-RCHSNY-VZB-WAAS;Other;APP_GP_56.207.245.4_Other;SERVICE_56.207.245.4;;56.49.34.9
OAM;APP_56.145.47.88_Internet_Radio_Stream;APP Internet_Radio_Stream WAE 3707178-DTRTMI-VZB-WAAS;Internet_Radio_Stream;APP_GP_56.207.245.4_Internet_Radio_Stream;SERVICE_56.207.245.4;;56.145.47.88
OAM;APP_56.100.168.10_Internet_Radio_Stream;APP Internet_Radio_Stream WAE 1934038-MOBLAL-VZB-WAAS;Internet_Radio_Stream;APP_GP_56.207.245.4_Internet_Radio_Stream;SERVICE_56.207.245.4;;56.100.168.10
OAM;APP_56.66.6.25_SSL;APP SSL WAE 2303780005-BLTMMD-ATT-WAAS;SSL;APP_GP_56.207.245.4_SSL;SERVICE_56.207.245.4;;56.66.6.25
OAM;APP_56.26.55.138_Systems-Management;APP Systems-Management WAE 0833696492-WLNDCT-XOC-WAAS;Systems-Management;APP_GP_56.207.245.4_Systems-Management;SERVICE_56.207.245.4;;56.26.55.138
OAM;APP_56.161.166.24_SQL;APP SQL WAE 3249360-FRTSAR-VZB-WAAS;SQL;APP_GP_56.207.245.4_SQL;SERVICE_56.207.245.4;;56.161.166.24
OAM;APP_56.28.7.8_SSL;APP SSL WAE 3500600210-ALBNNY-XOC-WAAS;SSL;APP_GP_56.207.245.4_SSL;SERVICE_56.207.245.4;;56.28.7.8
OAM;APP_56.129.131.8_Replication;APP Replication WAE 4166050098-PSBRPA-XOC-WAAS-2;Replication;APP_GP_56.207.245.4_Replication;SERVICE_56.207.245.4;;56.129.131.8
OAM;APP_56.169.194.6_Citrix;APP Citrix WAE 5194513-INDNIN-XOC-WAAS;Citrix;APP_GP_56.207.245.4_Citrix;SERVICE_56.207.245.4;;56.169.194.6
OAM;APP_56.35.70.85_Printing;APP Printing WAE 2755837-FRSLNY-XOC-WAAS;Printing;APP_GP_56.207.245.4_Printing;SERVICE_56.207.245.4;;56.35.70.85
OAM;APP_56.28.7.8_SSH;APP SSH WAE 3500600210-ALBNNY-XOC-WAAS;SSH;APP_GP_56.207.245.4_SSH;SERVICE_56.207.245.4;;56.28.7.8
OAM;APP_56.118.190.10_Backup;APP Backup WAE 6800070007-TAMPFL-XOC-WAAS;Backup;APP_GP_56.207.245.4_Backup;SERVICE_56.207.245.4;;56.118.190.10
