#Device-IP;TimeStamp;compressedIn;compressedOut;unCompressedIn;unCompressedOut;passthroughintermediatein;passthrough_other_out;passthroughoverloadin;passthroughoverloadout;passthroughpeerin;passthroughpeerout;passthroughpolicyin;passthroughpolicyout;frequency
56.242.217.8;2015-09-16 04:30:00;1099095;1294996;4849420;4519913;91708;539;-1;-1;0;0;2019602;2797089;hour
56.242.217.8;2015-09-16 05:30:00;1875399;1362901;6455726;7715469;148535;508;-1;-1;0;0;1814804;3768448;hour
56.242.217.8;2015-09-16 06:30:00;753391;1023134;6317426;3585504;108583;556;-1;-1;0;0;1823720;4798453;hour
56.242.217.8;2015-09-16 07:30:00;662533;885068;5728844;2732959;116865;464;-1;-1;0;0;1311355;4337383;hour
56.242.217.8;2015-09-16 08:30:00;692567;943366;6608384;3605768;140251;567;-1;-1;0;0;1177297;3845190;hour
56.242.217.8;2015-09-16 09:30:00;576384;835834;5923713;2155164;136483;435;-1;-1;0;0;1069861;3588840;hour
56.242.217.8;2015-09-16 10:30:00;675708;916322;5017682;2632626;100700;562;-1;-1;0;0;955514;2596012;hour
56.242.217.8;2015-09-16 11:30:00;608399;858667;5336025;2320491;113435;420;-1;-1;0;0;1018725;3073802;hour
56.242.217.8;2015-09-16 12:30:00;634647;939635;3292676;2568519;102207;809;-1;-1;0;0;1095248;1887459;hour
56.242.217.8;2015-09-16 13:30:00;596092;876940;10527914;2295809;173402;399;-1;-1;0;0;995779;5872425;hour
56.242.217.8;2015-09-16 14:30:00;1439936;1074052;10075720;7322170;187201;669;-1;-1;0;0;1526917;6109602;hour
56.242.217.8;2015-09-16 15:30:00;962139;1095402;15537052;5292239;112714;593;-1;-1;0;0;1715904;13105566;hour
56.242.217.8;2015-09-16 16:30:00;962616;1109078;5599084;3931865;93761;639;-1;-1;0;0;2241439;3924002;hour
56.242.217.8;2015-09-16 17:30:00;18833525;3364551;16058768;23795992;150715;852;-1;-1;0;0;3058282;11820368;hour
56.242.217.8;2015-09-16 18:30:00;1134259;1098393;3765542;3715437;91212;548;-1;-1;0;0;1135983;2021369;hour
56.242.217.8;2015-09-16 19:30:00;1315997;1137971;4044255;4260399;87255;358;-1;-1;0;0;1280084;2236116;hour
56.252.36.7;2015-09-15 21:30:00;121912491;51870628;733438966;260515421;15883645;18744;-1;-1;0;0;47807831;483390839;hour
56.252.36.7;2015-09-15 22:30:00;184672463;93629781;503177398;334603061;15769123;13310;-1;-1;0;0;43741987;257102130;hour
56.252.36.7;2015-09-15 23:30:00;122813330;46916303;621538312;497557377;19727832;19406;-1;-1;0;0;53000890;363464079;hour
56.252.36.7;2015-09-16 00:30:00;284380197;58201296;621486297;484226767;17546285;13950;-1;-1;0;0;47512367;290891926;hour
56.252.36.7;2015-09-16 01:30:00;123581348;47343271;324246075;290666919;15882913;14256;-1;-1;0;0;47835810;185637598;hour
56.252.36.7;2015-09-16 02:30:00;511144989;84061287;592357488;859335815;21136919;17382;-1;-1;0;0;55600872;294871511;hour
56.252.36.7;2015-09-16 03:30:00;302480547;270849573;610755149;457809774;11667597;15585;-1;-1;0;0;47859736;263378809;hour
56.252.36.7;2015-09-16 04:30:00;76135845;38028970;323119278;426835590;12137378;13636;-1;-1;0;0;38567635;186479894;hour
56.252.36.7;2015-09-16 05:30:00;315250732;33198790;325863668;406154328;16092260;11666;-1;-1;0;0;34043775;170813228;hour
56.252.36.7;2015-09-16 06:30:00;203273097;29040770;268732171;267886223;7903088;7677;-1;-1;0;0;23538696;142626676;hour
56.252.36.7;2015-09-16 07:30:00;149749149;43500732;228474780;239878697;8433896;10399;-1;-1;0;0;28586728;127603882;hour
56.252.36.7;2015-09-16 08:30:00;142295202;36184957;428808003;233326183;12617617;8860;-1;-1;0;0;30433059;247109685;hour
56.252.36.7;2015-09-16 09:30:00;283002017;1402846830;1467211258;333981597;6352404;7130;-1;-1;0;0;23375034;118264421;hour
56.252.36.7;2015-09-16 10:30:00;62009033;70830711;447737079;145733758;13417976;10340;-1;-1;0;0;30385277;277298171;hour
56.252.36.7;2015-09-16 11:30:00;32891177;25612878;429994419;103794935;9751826;9345;-1;-1;0;0;27148173;322006650;hour
56.252.36.7;2015-09-16 12:30:00;81235882;42706493;385511295;203502594;9990353;11212;-1;-1;0;0;33008493;262174472;hour
56.252.36.7;2015-09-16 13:30:00;26583685;38878819;216587424;93840431;10197371;12253;-1;-1;0;0;22742569;111797306;hour
56.252.36.7;2015-09-16 14:30:00;24997894;26580156;171085950;91039579;9461033;8252;-1;-1;0;0;21160032;90181002;hour
56.252.36.7;2015-09-16 15:30:00;29240934;29245254;279055982;131408844;19790115;20399;-1;-1;0;0;36899340;166238182;hour
56.252.36.7;2015-09-16 16:30:00;81807184;41403381;311239390;191155456;20284258;16704;-1;-1;0;0;38806560;188100957;hour
56.252.36.7;2015-09-16 17:30:00;129956635;34535798;265754232;216139417;7022539;9806;-1;-1;0;0;31103405;177786253;hour
56.252.36.7;2015-09-16 18:30:00;40247779;31909843;471368884;174254643;15242441;15085;-1;-1;0;0;45562302;283119406;hour
56.252.36.7;2015-09-16 19:30:00;55642537;35622906;293719534;182736357;7249630;10868;-1;-1;0;0;37566268;204300884;hour
