#Device-IP;TimeStamp;compressedIn;compressedOut;unCompressedIn;unCompressedOut;passthroughintermediatein;passthrough_other_out;passthroughoverloadin;passthroughoverloadout;passthroughpeerin;passthroughpeerout;passthroughpolicyin;passthroughpolicyout;frequency
56.72.172.12;2015-09-16 12:30:00;2015597;2432935;21835125;7615340;806813;1264;-1;-1;0;0;2324654;11793981;hour
56.72.172.12;2015-09-16 13:30:00;2394177;2951288;28625664;9677364;630692;1512;-1;-1;0;0;3230782;20764526;hour
56.72.172.12;2015-09-16 14:30:00;2109151;2811963;17102055;10811368;515127;1720;-1;-1;0;0;4742168;11776256;hour
56.72.172.12;2015-09-16 15:30:00;3877705;3468023;55210707;26707703;3623031;6456;-1;-1;0;0;8712880;36848761;hour
56.72.172.12;2015-09-16 16:30:00;11030148;5111093;79803049;54356670;875196;1941;-1;-1;0;0;9518389;70009502;hour
56.72.172.12;2015-09-16 17:30:00;3769054;4217611;93610492;23370663;2687979;3446;-1;-1;0;0;8392975;58274256;hour
56.72.172.12;2015-09-16 18:30:00;6091877;5639959;63642370;30332387;3264888;3301;-1;-1;0;0;9318294;36351208;hour
56.72.172.12;2015-09-16 19:30:00;5359384;3926373;148240742;35593362;1694838;2984;-1;-1;0;0;11717206;123194571;hour
56.74.16.8;2015-09-15 21:30:00;30264615;32912847;664185892;110913588;10115849;10198;-1;-1;0;0;24250175;147184598;hour
56.74.16.8;2015-09-15 22:30:00;52641955;29132798;449575596;136543654;15606547;9287;-1;-1;0;0;29949558;232883759;hour
56.74.16.8;2015-09-15 23:30:00;73689016;29307995;447366642;238510233;21557772;13828;-1;-1;0;0;36747630;232256196;hour
56.74.16.8;2015-09-16 00:30:00;38744780;28852845;201648935;231197093;19631953;5285;-1;-1;0;0;33967023;102081775;hour
56.74.16.8;2015-09-16 01:30:00;36882006;27302058;222736927;166231238;40559123;6431;-1;-1;0;0;54438635;123663903;hour
56.74.16.8;2015-09-16 02:30:00;14999844;24832297;136369717;53851306;6750781;5111;-1;-1;0;0;17098197;83823024;hour
56.74.16.8;2015-09-16 03:30:00;10894226;16628173;55799711;33274246;2332660;1712;-1;-1;0;0;7030582;27030194;hour
56.74.16.8;2015-09-16 04:30:00;11022447;16206685;92709234;35542079;2239562;1750;-1;-1;0;0;8349950;61362376;hour
56.74.16.8;2015-09-16 05:30:00;9656600;14890834;40595730;28815549;2092754;1822;-1;-1;0;0;6309194;16684158;hour
56.74.16.8;2015-09-16 06:30:00;9182562;14502703;33263628;28842802;1932580;1401;-1;-1;0;0;5062569;9588650;hour
56.74.16.8;2015-09-16 07:30:00;21831939;261019701;295121605;36797746;1678134;1384;-1;-1;0;0;5816976;18679515;hour
56.74.16.8;2015-09-16 08:30:00;14120235;109556887;162162439;34841666;1741499;1409;-1;-1;0;0;6509934;46026953;hour
56.74.16.8;2015-09-16 09:30:00;9740446;14937673;95059033;34076129;1485032;1353;-1;-1;0;0;8082031;70030088;hour
56.74.16.8;2015-09-16 10:30:00;10036192;15421889;98571658;39866264;1785693;2817;-1;-1;0;0;8417419;72079135;hour
56.74.16.8;2015-09-16 11:30:00;9682141;15084409;63921356;31596484;1930892;2090;-1;-1;0;0;6848491;39057872;hour
56.74.16.8;2015-09-16 12:30:00;9535513;15152380;76058513;31310334;1995594;1611;-1;-1;0;0;7185974;52169825;hour
56.74.16.8;2015-09-16 13:30:00;9550303;14999992;66542588;29258035;2062099;2188;-1;-1;0;0;7036377;40990074;hour
56.74.16.8;2015-09-16 14:30:00;9371758;14918465;46808829;28182273;1953636;1313;-1;-1;0;0;5840451;20777304;hour
56.74.16.8;2015-09-16 15:30:00;10179892;16056872;59430583;31768385;2280467;2498;-1;-1;0;0;8175396;32950492;hour
56.74.16.8;2015-09-16 16:30:00;13919386;17651797;144639697;52396052;3444557;3827;-1;-1;0;0;16196178;106008432;hour
56.74.16.8;2015-09-16 17:30:00;42623307;65038836;541840952;171991953;9469163;8138;-1;-1;0;0;41875263;353348066;hour
56.74.16.8;2015-09-16 18:30:00;154959921;65757161;427182421;341580009;7960650;8481;-1;-1;0;0;43558808;266859579;hour
56.74.16.8;2015-09-16 19:30:00;31076058;30296629;389125618;213336395;16359821;11829;-1;-1;0;0;34302003;208309209;hour
56.80.101.7;2015-09-15 21:30:00;2023686;2880330;36705209;6285938;618281;1791;-1;-1;0;0;1133779;13311144;hour
56.80.101.7;2015-09-15 22:30:00;1782217;2011889;26158557;8088349;626886;1486;-1;-1;0;0;2418021;19598170;hour
56.80.101.7;2015-09-15 23:30:00;956828;1609953;10818585;2808602;352535;906;-1;-1;0;0;789963;6422631;hour
56.80.101.7;2015-09-16 00:30:00;1152022;1512997;8537122;4217231;337858;1050;-1;-1;0;0;1002183;4160036;hour
56.80.101.7;2015-09-16 01:30:00;1163465;1561009;35025502;7664013;2331095;3169;-1;-1;0;0;2629292;17534863;hour
56.80.101.7;2015-09-16 02:30:00;1571615;1709117;11491537;5868421;290572;1187;-1;-1;0;0;1057672;6823647;hour
56.80.101.7;2015-09-16 03:30:00;840785;1601276;5707604;2552040;176554;450;-1;-1;0;0;552554;2895052;hour
56.80.101.7;2015-09-16 04:30:00;396404;1077842;2732580;832550;94802;636;-1;-1;0;0;174398;940750;hour
56.80.101.7;2015-09-16 05:30:00;411763;1080096;2844041;1038505;95650;395;-1;-1;0;0;222604;1032181;hour
56.80.101.7;2015-09-16 06:30:00;377287;1057450;4357723;1000440;92190;471;-1;-1;0;0;375834;2611057;hour
56.80.101.7;2015-09-16 07:30:00;725976;1089721;2957755;1679267;90732;524;-1;-1;0;0;191999;972663;hour
56.80.101.7;2015-09-16 08:30:00;360205;1029759;2931510;819669;93046;477;-1;-1;0;0;198564;1194575;hour
56.80.101.7;2015-09-16 09:30:00;441355;1150381;8390308;1178373;96629;576;-1;-1;0;0;347873;5746655;hour
56.80.101.7;2015-09-16 10:30:00;3910178;1332471;6040509;4593563;96235;521;-1;-1;0;0;288295;3968899;hour
56.80.101.7;2015-09-16 11:30:00;527602;1157333;6050273;1256507;94003;586;-1;-1;0;0;342004;4104555;hour
56.80.101.7;2015-09-16 12:30:00;399297;1088971;3225670;1020214;91682;423;-1;-1;0;0;242482;1345252;hour
56.80.101.7;2015-09-16 13:30:00;352660;1018440;9716916;913180;95273;570;-1;-1;0;0;308855;7997312;hour
56.80.101.7;2015-09-16 14:30:00;403220;1092274;4621698;1232135;95561;446;-1;-1;0;0;458290;2798646;hour
56.80.101.7;2015-09-16 15:30:00;364986;1031882;2584098;758740;90340;585;-1;-1;0;0;143831;863487;hour
56.80.101.7;2015-09-16 16:30:00;384090;1063000;2892677;975996;96607;566;-1;-1;0;0;237888;1073656;hour
56.80.101.7;2015-09-16 17:30:00;399027;1092932;3462698;975792;91133;536;-1;-1;0;0;213151;1687184;hour
56.80.101.7;2015-09-16 18:30:00;2957070;3508514;24026881;10001784;170572;2319;-1;-1;0;0;1854825;16801743;hour
56.80.101.7;2015-09-16 19:30:00;2525033;3074063;13909654;8172560;355161;1025;-1;-1;0;0;1027797;5420020;hour
56.97.4.236;2015-09-15 21:30:00;127680863;203904878;428264672;316753367;11402261;96711;-1;-1;0;0;38927249;161205808;hour
56.97.4.236;2015-09-15 22:30:00;119282432;55220893;215152551;273685658;17946566;97245;-1;-1;0;0;38064739;93797874;hour
56.97.4.236;2015-09-15 23:30:00;209436943;59978208;291695854;369102954;14888509;92647;-1;-1;0;0;38014345;142370801;hour
56.97.4.236;2015-09-16 00:30:00;116473815;49761938;232141686;229163128;17030563;99747;-1;-1;0;0;35530107;108623658;hour
56.97.4.236;2015-09-16 01:30:00;151988767;51887178;328081195;286587348;15390145;118605;-1;-1;0;0;43886747;175380298;hour
56.97.4.236;2015-09-16 02:30:00;92983594;43908716;206374850;280297164;15624339;70811;-1;-1;0;0;36825224;101388345;hour
56.97.4.236;2015-09-16 03:30:00;60021162;41406215;348460518;230469211;17452096;90256;-1;-1;0;0;36451079;169156219;hour
56.97.4.236;2015-09-16 04:30:00;53649218;42057076;211725940;180141408;11509075;95157;-1;-1;0;0;32492959;98927213;hour
56.97.4.236;2015-09-16 05:30:00;48088949;40136478;244284600;163022609;14548756;101652;-1;-1;0;0;38289772;140373309;hour
56.97.4.236;2015-09-16 06:30:00;87023591;38579075;355732665;186374790;15670642;113886;-1;-1;0;0;36211724;190389247;hour
56.97.4.236;2015-09-16 07:30:00;34199177;35071448;293401720;147781070;16223655;87488;-1;-1;0;0;37203512;181924615;hour
56.97.4.236;2015-09-16 08:30:00;42683720;34383984;313670212;162872805;17836356;93988;-1;-1;0;0;38508799;198745444;hour
56.97.4.236;2015-09-16 09:30:00;46982519;412910020;798229405;170547020;12175785;83545;-1;-1;0;0;46596213;378762553;hour
56.97.4.236;2015-09-16 10:30:00;95791619;592197156;828400878;220955437;13827615;76356;-1;-1;0;0;38446192;203058607;hour
56.97.4.236;2015-09-16 11:30:00;164886689;42280945;875454868;395411139;27349729;78949;-1;-1;0;0;51275488;500892785;hour
56.97.4.236;2015-09-16 12:30:00;72501038;40030534;634921003;206760998;16425706;94354;-1;-1;0;0;38168181;360526987;hour
56.97.4.236;2015-09-16 13:30:00;75465588;39913590;345722926;215518221;14658053;103255;-1;-1;0;0;39511740;207556624;hour
56.97.4.236;2015-09-16 14:30:00;71985909;38943048;237985493;198069785;15637978;83246;-1;-1;0;0;33204066;118922902;hour
56.97.4.236;2015-09-16 15:30:00;74045940;39824681;179402705;186147568;11547550;86371;-1;-1;0;0;32940364;97650337;hour
56.97.4.236;2015-09-16 16:30:00;67548135;38857542;1200403059;359675365;21012989;72895;-1;-1;0;0;49059329;667174473;hour
56.97.4.236;2015-09-16 17:30:00;174070728;50552639;325339104;327259511;13195858;86950;-1;-1;0;0;42956399;193654219;hour
56.97.4.236;2015-09-16 18:30:00;269325011;58182938;438128538;452205027;15286348;76153;-1;-1;0;0;41882627;253140852;hour
56.97.4.236;2015-09-16 19:30:00;162350642;65678301;791927379;393695561;18281261;80266;-1;-1;0;0;41015974;410658637;hour
56.107.37.11;2015-09-15 21:30:00;252346506;30158909;272380155;323047604;4518635;3988;-1;-1;0;0;19805092;183734419;hour
56.107.37.11;2015-09-15 22:30:00;33642165;91048695;232776900;95989518;3719791;5585;-1;-1;0;0;22392234;105925358;hour
56.107.37.11;2015-09-15 23:30:00;26068741;60592267;138594458;83908743;3971568;4950;-1;-1;0;0;17238076;57876551;hour
56.107.37.11;2015-09-16 00:30:00;75189706;23080522;121178127;143785704;3341144;4952;-1;-1;0;0;19701053;79558801;hour
56.107.37.11;2015-09-16 01:30:00;68921504;17916233;204245918;142832699;6955520;7653;-1;-1;0;0;21050779;138527611;hour
56.107.37.11;2015-09-16 02:30:00;56716971;13703117;93857687;116577645;4965752;5288;-1;-1;0;0;17240246;63173758;hour
56.107.37.11;2015-09-16 03:30:00;45916315;15522919;63019409;90828109;2325303;4011;-1;-1;0;0;12184877;41935030;hour
56.107.37.11;2015-09-16 04:30:00;13606269;12488615;104559463;65162339;2493014;4602;-1;-1;0;0;14545644;86247414;hour
56.107.37.11;2015-09-16 05:30:00;42410973;14484495;71127264;84343301;2847029;3787;-1;-1;0;0;12244036;47615600;hour
56.107.37.11;2015-09-16 06:30:00;29115304;13093237;59529019;73964999;2289272;4430;-1;-1;0;0;11280580;40899492;hour
56.107.37.11;2015-09-16 07:30:00;13196274;11272364;51361687;46188843;2231222;3005;-1;-1;0;0;9369652;34922260;hour
56.107.37.11;2015-09-16 08:30:00;25602267;388205968;442221162;61192713;1959338;3419;-1;-1;0;0;13491143;109285753;hour
56.107.37.11;2015-09-16 09:30:00;9598320;11967486;191269279;49968192;1777011;2857;-1;-1;0;0;14877093;172760028;hour
56.107.37.11;2015-09-16 10:30:00;15557676;13586533;235903111;73245495;6557226;4648;-1;-1;0;0;18961012;197858351;hour
56.107.37.11;2015-09-16 11:30:00;14679630;22144230;303633819;112813786;4319794;3621;-1;-1;0;0;16527825;233999942;hour
56.107.37.11;2015-09-16 12:30:00;19135533;12374712;130402956;67097110;2765462;2982;-1;-1;0;0;13000780;107257900;hour
56.107.37.11;2015-09-16 13:30:00;11502717;12055295;101393243;57160762;2103369;3257;-1;-1;0;0;11976873;82862765;hour
56.107.37.11;2015-09-16 14:30:00;9783218;11230685;77364005;53923703;1906187;2642;-1;-1;0;0;12097128;59377902;hour
56.107.37.11;2015-09-16 15:30:00;21043512;13796503;73988238;69567340;2241916;3598;-1;-1;0;0;13844038;53538579;hour
56.107.37.11;2015-09-16 16:30:00;55506472;16646003;150085650;121931712;6215647;4111;-1;-1;0;0;22749540;109009434;hour
56.107.37.11;2015-09-16 17:30:00;33868216;17619207;282358026;112733781;6657446;4997;-1;-1;0;0;24419758;181183726;hour
56.107.37.11;2015-09-16 18:30:00;38994883;106714135;471805087;104748562;3254518;4721;-1;-1;0;0;19590108;126174614;hour
56.107.37.11;2015-09-16 19:30:00;44461984;18391732;95660224;94616657;3234682;3247;-1;-1;0;0;15318264;55286803;hour
56.112.63.10;2015-09-15 21:30:00;10622699;9146519;41505918;31115686;1703493;2733;-1;-1;0;0;8260574;29313221;hour
56.112.63.10;2015-09-15 22:30:00;16375572;9308706;39908601;48047879;1981507;2664;-1;-1;0;0;8952518;26468185;hour
56.112.63.10;2015-09-15 23:30:00;6162428;8960490;45608614;24036799;2374234;3300;-1;-1;0;0;9629647;33433902;hour
56.112.63.10;2015-09-16 00:30:00;10996096;9659998;36687418;31874791;2282456;2364;-1;-1;0;0;9872816;24287997;hour
56.112.63.10;2015-09-16 01:30:00;9861863;9887494;50633242;34006125;1809044;3090;-1;-1;0;0;8605933;33973526;hour
56.112.63.10;2015-09-16 02:30:00;11746214;9247636;35997090;31048639;1568779;2126;-1;-1;0;0;7124200;24405591;hour
56.112.63.10;2015-09-16 03:30:00;6432829;9220348;41104092;20227522;1460109;2263;-1;-1;0;0;7621203;30408046;hour
56.112.63.10;2015-09-16 04:30:00;7462242;9402178;52549757;24539497;3608607;2592;-1;-1;0;0;7454342;28680722;hour
56.112.63.10;2015-09-16 05:30:00;4786642;7338780;31606610;19764367;1710119;2254;-1;-1;0;0;9847763;23532778;hour
56.112.63.10;2015-09-16 06:30:00;4190428;6147568;16476338;13815235;1606594;739;-1;-1;0;0;4247793;9771041;hour
56.112.63.10;2015-09-16 07:30:00;4020711;6189757;22843471;13049339;1595995;733;-1;-1;0;0;4471138;16273491;hour
56.112.63.10;2015-09-16 08:30:00;4168490;6471976;28381833;14661575;1685749;712;-1;-1;0;0;4940124;21445563;hour
56.112.63.10;2015-09-16 09:30:00;4685439;6695358;34275861;14768740;1618534;926;-1;-1;0;0;4245912;25576653;hour
56.112.63.10;2015-09-16 10:30:00;4585881;7134937;52221068;16936722;1427006;2509;-1;-1;0;0;5485473;43993589;hour
56.112.63.10;2015-09-16 11:30:00;4304159;6854797;32073264;14255588;1381411;1448;-1;-1;0;0;4461470;24507020;hour
56.112.63.10;2015-09-16 12:30:00;7509711;6947158;42527419;19535052;1580528;1286;-1;-1;0;0;5113099;34316936;hour
56.112.63.10;2015-09-16 13:30:00;4372429;7398580;30503427;14314283;1475194;1602;-1;-1;0;0;4593815;22417987;hour
56.112.63.10;2015-09-16 14:30:00;4415161;7364337;23022796;16650506;1528974;1289;-1;-1;0;0;4026114;13086243;hour
56.112.63.10;2015-09-16 15:30:00;5770416;8015416;34506351;19827834;1513365;1381;-1;-1;0;0;5565780;25243936;hour
56.112.63.10;2015-09-16 16:30:00;7289479;8196003;34690585;24169248;1844411;2015;-1;-1;0;0;8136676;24225339;hour
56.112.63.10;2015-09-16 17:30:00;5748351;8584856;27338125;20089770;1374903;1957;-1;-1;0;0;7236872;17727934;hour
56.112.63.10;2015-09-16 18:30:00;9129769;8276777;60738202;32322054;1477961;1697;-1;-1;0;0;8839057;50970943;hour
56.112.63.10;2015-09-16 19:30:00;7065746;8864492;56654019;29399026;2498120;2438;-1;-1;0;0;8542992;35264844;hour
56.146.67.10;2015-09-15 21:30:00;26009164;6881490;103863746;56001756;4281731;2403;-1;-1;0;0;16651863;85087743;hour
56.146.67.10;2015-09-15 22:30:00;23530936;9285279;113001624;58275204;6903859;2047;-1;-1;0;0;15661696;86799022;hour
56.146.67.10;2015-09-15 23:30:00;46398385;8984432;83935325;72955977;6159159;3828;-1;-1;0;0;12570145;41805842;hour
56.146.67.10;2015-09-16 00:30:00;43941326;10537589;105048115;133568324;9767039;2302;-1;-1;0;0;19280353;51993620;hour
56.146.67.10;2015-09-16 01:30:00;15896780;7672626;130696272;81602457;24662347;1909;-1;-1;0;0;34348461;110305527;hour
56.146.67.10;2015-09-16 02:30:00;11946344;6273872;43577220;53847773;13730069;1549;-1;-1;0;0;19802915;26116223;hour
56.146.67.10;2015-09-16 03:30:00;6241194;6000498;34903654;32332277;6506745;1406;-1;-1;0;0;11473034;19892613;hour
56.146.67.10;2015-09-16 04:30:00;5809268;5484157;14700350;15551934;395372;1305;-1;-1;0;0;3254830;7769095;hour
56.146.67.10;2015-09-16 05:30:00;4895175;5433781;18045852;14053220;509261;1343;-1;-1;0;0;3638505;11352732;hour
56.146.67.10;2015-09-16 06:30:00;9086945;5284635;15594662;21678510;484977;1297;-1;-1;0;0;2919697;8664834;hour
56.146.67.10;2015-09-16 07:30:00;15443115;66131910;134931900;42617980;2454152;2749;-1;-1;0;0;7255600;55482119;hour
56.146.67.10;2015-09-16 08:30:00;8536772;5476486;84753824;26962216;1950976;2605;-1;-1;0;0;5393921;53729532;hour
56.146.67.10;2015-09-16 09:30:00;18929725;219490279;298806983;342514570;152734383;3465;-1;-1;0;0;157205818;75780647;hour
56.146.67.10;2015-09-16 10:30:00;21386115;26144357;61335616;42165654;5055135;1718;-1;-1;0;0;9050643;31435447;hour
56.146.67.10;2015-09-16 11:30:00;38739276;8311766;43177338;52684880;605267;1585;-1;-1;0;0;3820412;31961256;hour
56.146.67.10;2015-09-16 12:30:00;11567459;6182685;18669396;26660723;532803;1345;-1;-1;0;0;3685105;10098889;hour
56.146.67.10;2015-09-16 13:30:00;47095894;8827583;38929086;63382443;422423;1554;-1;-1;0;0;4535062;27853945;hour
56.146.67.10;2015-09-16 14:30:00;44349924;11399749;44345662;63957610;994978;1928;-1;-1;0;0;4517002;21873564;hour
56.146.67.10;2015-09-16 15:30:00;110757001;15177512;67476525;129221713;3288266;3253;-1;-1;0;0;7602160;32793557;hour
56.146.67.10;2015-09-16 16:30:00;30794527;8396120;47586667;46476814;360279;1508;-1;-1;0;0;6370638;37136842;hour
56.146.67.10;2015-09-16 17:30:00;21617383;9258125;67565476;40438692;914335;2046;-1;-1;0;0;7112590;50826136;hour
56.146.67.10;2015-09-16 18:30:00;23522650;9115808;71934722;44735078;988331;1466;-1;-1;0;0;6666199;49194389;hour
56.146.67.10;2015-09-16 19:30:00;19328292;8016810;41132696;75845296;1011921;2265;-1;-1;0;0;8025467;25964227;hour
56.155.10.38;2015-09-15 21:30:00;247767969;81863865;955844145;813574546;30636918;22213;-1;-1;0;0;87655618;569363884;hour
56.155.10.38;2015-09-15 22:30:00;156044486;72260658;860474006;401393596;26518812;24058;-1;-1;0;0;90323174;541121747;hour
56.155.10.38;2015-09-15 23:30:00;139269382;91495210;746833126;465292466;35964752;26083;-1;-1;0;0;79644665;372509189;hour
56.155.10.38;2015-09-16 00:30:00;585055501;85925200;906587617;819535648;30914688;24600;-1;-1;0;0;78585426;498891408;hour
